X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-8798216.99543568,4291340.47123719,2019/08/13 16:50:11+00,28.28,19.12,19.34,18.85,18.81,17.72,15.4,103,40,998.77,Chapel Hill Public Library,outside,35.932522,-79.035728,916,-81,14,,10119
-8798216.99543568,4291340.47123719,2019/08/13 18:05:01+00,29.99,22.37,20.51,19.48,18.92,17.75,15.41,106,37,997.74,Chapel Hill Public Library,outside,35.932522,-79.035728,363,-82,0,,10120
-8798216.99543568,4291340.47123719,2019/08/13 19:04:49+00,28.85,27.34,23.64,21.43,19.3,17.86,15.43,104,38,996.74,Chapel Hill Public Library,outside,35.932522,-79.035728,1809,-81,0,,10121
-8798216.99543568,4291340.47123719,2019/08/13 19:45:22+00,29.18,29.26,26.37,23.59,19.81,18.01,15.45,92,58,997.32,Chapel Hill Public Library,outside,35.932522,-79.035728,4235,-83,19,,10122
-8798216.99543568,4291340.47123719,2019/08/13 21:04:09+00,22.51,28.58,26.24,23.58,19.82,18.01,15.45,89,63,996.84,Chapel Hill Public Library,outside,35.932522,-79.035728,923,-82,0,,10123
-8798216.99543568,4291340.47123719,2019/08/13 21:28:10+00,15.48,27.27,25.88,23.44,19.81,18.01,15.45,89,61,997.43,Chapel Hill Public Library,outside,35.932522,-79.035728,248,-80,36,,10124
-8798216.99543568,4291340.47123719,2019/08/13 22:22:43+00,11.7,23.08,24.52,22.87,19.74,18,15.45,84,68,996.8,Chapel Hill Public Library,outside,35.932522,-79.035728,849,-81,42,,10125
-8798216.99543568,4291340.47123719,2019/08/13 22:22:43+00,11.7,23.08,24.52,22.87,19.74,18,15.45,84,68,996.8,Chapel Hill Public Library,outside,35.932522,-79.035728,849,-81,102,,10126
-8798216.99543568,4291340.47123719,2019/08/13 22:22:43+00,11.7,23.08,24.52,22.87,19.74,18,15.45,84,68,996.8,Chapel Hill Public Library,outside,35.932522,-79.035728,849,-81,162,,10127
-8798216.99543568,4291340.47123719,2019/08/13 22:22:43+00,11.7,23.08,24.52,22.87,19.74,18,15.45,84,68,996.8,Chapel Hill Public Library,outside,35.932522,-79.035728,849,-81,222,,10128
-8798216.99543568,4291340.47123719,2019/08/13 22:22:43+00,11.7,23.08,24.52,22.87,19.74,18,15.45,84,68,996.8,Chapel Hill Public Library,outside,35.932522,-79.035728,849,-81,282,,10129
-8798216.99543568,4291340.47123719,2019/08/14 03:44:32+00,15.27,19.78,23.04,22.24,19.68,17.99,15.45,84,63,998.28,Chapel Hill Public Library,outside,35.932522,-79.035728,727,-86,20,,10130
-8798216.99543568,4291340.47123719,2019/07/31 11:50:18+00,18.46,23.86,23.69,23.24,21.03,16.69,15.07,83,57,1005.54,Chapel Hill Public Library,outside,35.932522,-79.035728,323,-79,14,,10131
